                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.1254,                0.87333,                 1.2145,                0.72839,                0.45389,                0.53542,                0.43368,                0.22441,                 3.8711,                0.23185,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.1294,                0.87391,                  1.216,                0.70905,                0.45052,                0.53559,                0.43339,                0.22425,                 3.8539,                0.23174,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.1249,                0.86747,                 1.2114,                0.71121,                0.45281,                0.53696,                0.43448,                0.22406,                 3.8314,                0.23171,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.1185,                0.86519,                  1.213,                0.70907,                0.45045,                0.53947,                0.43664,                0.22393,                 3.8287,                 0.2317,               0.008713,               0.008713,               0.008713
                     68,                 1.1202,                0.86391,                 1.2136,                0.70843,                0.45045,                0.53998,                0.43775,                0.22383,                 3.8008,                0.23159,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.1181,                0.86165,                 1.2138,                0.70379,                 0.4504,                0.53939,                0.43698,                0.22382,                 3.8667,                0.23159,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.1214,                0.86241,                  1.212,                0.71454,                0.45044,                0.53905,                0.43645,                 0.2238,                 3.9261,                0.23163,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.1203,                0.85888,                  1.211,                0.70392,                 0.4506,                0.54015,                0.43786,                0.22358,                 3.9745,                0.23157,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.1186,                0.86214,                 1.2102,                0.70783,                0.45053,                0.54156,                0.43875,                0.22365,                 4.0137,                0.23162,               0.008614,               0.008614,               0.008614
                     73,                 1.1168,                0.86281,                 1.2077,                0.70548,                0.45066,                0.54109,                0.43861,                0.22372,                   4.04,                0.23162,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.1188,                0.86009,                 1.2087,                0.70716,                0.45034,                0.53897,                0.43631,                0.22365,                 4.0967,                0.23152,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.1188,                0.85996,                 1.2128,                0.70284,                0.45015,                0.53763,                0.43538,                0.22357,                 4.1261,                0.23147,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.1121,                0.85984,                 1.2092,                0.68678,                0.45044,                 0.5371,                0.43562,                0.22357,                 4.1153,                0.23142,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.1122,                0.85685,                  1.207,                0.70703,                0.45042,                0.53772,                 0.4353,                0.22365,                 4.1321,                0.23153,               0.008515,               0.008515,               0.008515
                     78,                 1.1178,                0.85817,                 1.2128,                0.70613,                0.45104,                0.53773,                0.43528,                0.22362,                 4.1422,                 0.2315,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.1128,                  0.857,                 1.2084,                0.71675,                0.45108,                0.54021,                 0.4377,                0.22357,                 4.1345,                0.23146,              0.0084754,              0.0084754,              0.0084754
